id,link,price
50,241956283,https://opensooq.com/en/search/241956283/170-m2-3-bedrooms-apartments-for-sale-in-amman-jubaiha,"79,000 JOD"
51,241985001,https://opensooq.com/en/search/241985001/mixed-use-land-for-sale-in-amman-al-muwaqqar,"50,000 JOD"
52,245581139,https://opensooq.com/en/search/245581139/194-m2-4-bedrooms-apartments-for-sale-in-irbid-al-rahebat-al-wardiah,"117,000 JOD"
53,241004511,https://opensooq.com/en/search/241004511/residential-land-for-sale-in-amman-naour,"99,000 JOD"
54,240814475,https://opensooq.com/en/search/240814475/residential-land-for-sale-in-amman-naour,"103,000 JOD"
55,242355547,https://opensooq.com/en/search/242355547/residential-land-for-sale-in-zarqa-other,"9,500 JOD"
56,244150579,https://opensooq.com/en/search/244150579/250-m2-3-bedrooms-villa-for-sale-in-zarqa-al-zarqa-al-jadeedeh,"1,000 JOD"
57,243811445,https://opensooq.com/en/search/243811445/153-m2-3-bedrooms-apartments-for-sale-in-irbid-al-hay-al-sharqy,"54,000 JOD"
58,245595167,https://opensooq.com/en/search/245595167/120-m2-2-bedrooms-apartments-for-sale-in-amman-al-rabiah,"90,000 JOD"
59,244958037,https://opensooq.com/en/search/244958037/villa-for-sale,"690,000 JOD"
60,245306057,https://opensooq.com/en/search/245306057/farm-land-for-sale-in-salt-jala-d,"100,000 JOD"
61,245650299,https://opensooq.com/en/search/245650299/250-m2-3-bedrooms-apartments-for-sale-in-amman-al-mansour,"135,000 JOD"
62,245196791,https://opensooq.com/en/search/245196791/residential-land-for-sale-in-irbid-bushra,"90,000 JOD"
63,245221967,https://opensooq.com/en/search/245221967/230-m2-3-bedrooms-apartments-for-sale-in-amman-abu-nsair,"1,110 JOD"
64,245474807,https://opensooq.com/en/search/245474807/farm-land-for-sale-in-amman-other,"10,000 JOD"
65,244320163,https://opensooq.com/en/search/244320163/mixed-use-land-for-sale-in-amman-al-muwaqqar,"15,000 JOD"
66,244578997,https://opensooq.com/en/search/244578997/169-m2-3-bedrooms-apartments-for-sale-in-amman-tabarboor,"61,000 JOD"
67,236690986,https://opensooq.com/en/search/236690986/162-m2-3-bedrooms-apartments-for-sale-in-amman-marj-el-hamam,"87,000 JOD"
68,244749337,https://opensooq.com/en/search/244749337/165-m2-3-bedrooms-apartments-for-sale-in-amman-daheit-al-rasheed,"103,000 JOD"
69,245652301,https://opensooq.com/en/search/245652301/160-m2-3-bedrooms-apartments-for-sale-in-amman-shafa-badran,"78,000 JOD"
70,240750289,https://opensooq.com/en/search/240750289/residential-land-for-sale-in-salt-other,"78,000 JOD"
71,244319561,https://opensooq.com/en/search/244319561/166-m2-3-bedrooms-apartments-for-sale-in-amman-al-bnayyat,"73,000 JOD"
72,241156045,https://opensooq.com/en/search/241156045/200-m2-3-bedrooms-apartments-for-sale-in-amman-shafa-badran,"130,000 JOD"
73,243340195,https://opensooq.com/en/search/243340195/186-m2-3-bedrooms-apartments-for-sale-in-amman-dahiet-al-istiqlal,"69,000 JOD"
74,242869627,https://opensooq.com/en/search/242869627/200-m2-3-bedrooms-apartments-for-sale-in-amman-marj-el-hamam,"120,000 JOD"
75,245398219,https://opensooq.com/en/search/245398219/244-m2-3-bedrooms-apartments-for-sale-in-amman-marj-el-hamam,"165,000 JOD"
76,240210105,https://opensooq.com/en/search/240210105/190-m2-3-bedrooms-apartments-for-sale-in-irbid-al-rahebat-al-wardiah,"2,000 JOD"
77,240946795,https://opensooq.com/en/search/240946795/280-m2-4-bedrooms-apartments-for-sale-in-amman-al-kursi,
78,241619767,https://opensooq.com/en/search/241619767/120-m2-3-bedrooms-apartments-for-sale-in-amman-dahiet-al-ameer-ali,"48,000 JOD"
79,242354807,https://opensooq.com/en/search/242354807/235-m2-3-bedrooms-apartments-for-sale-in-amman-khalda,"165,000 JOD"
80,244319841,https://opensooq.com/en/search/244319841/143-m2-3-bedrooms-apartments-for-sale-in-amman-al-bnayyat,"71,000 JOD"
81,244509869,https://opensooq.com/en/search/244509869/residential-land-for-sale-in-amman-daheit-al-yasmeen,"265,000 JOD"
82,245160107,https://opensooq.com/en/search/245160107/mixed-use-land-for-sale-in-amman-areinba-al-gharbiyah,"14,000 JOD"
83,244560085,https://opensooq.com/en/search/244560085/farm-land-for-sale-in-amman-airport-road-madaba-bridge,"2,250 JOD"
84,245778831,https://opensooq.com/en/search/245778831/residential-land-for-sale-in-amman-al-qastal,"90,000 JOD"
85,245463453,https://opensooq.com/en/search/245463453/building-for-sale-in-amman-daheit-al-aqsa,450 JOD
86,244577427,https://opensooq.com/en/search/244577427/550-m2-more-than-6-bedrooms-villa-for-sale-in-amman-naour,"760,000 JOD"
87,242797251,https://opensooq.com/en/search/242797251/farm-land-for-sale-in-amman-husban,"124,900 JOD"
88,245025617,https://opensooq.com/en/search/245025617/mixed-use-land-for-sale-in-jerash-tal-al-rumman,
89,243198717,https://opensooq.com/en/search/243198717/240-m2-4-bedrooms-apartments-for-sale-in-amman-jubaiha,"145,000 JOD"
90,245240297,https://opensooq.com/en/search/245240297/mixed-use-land-for-sale-in-amman-al-thra,"125,000 JOD"
91,245783711,https://opensooq.com/en/search/245783711/farm-land-for-sale-in-zarqa-al-alouk,"25,000 JOD"
92,242727003,https://opensooq.com/en/search/242727003/150-m2-3-bedrooms-apartments-for-sale-in-amman-tabarboor,"50,000 JOD"
93,244656891,https://opensooq.com/en/search/244656891/240-m2-4-bedrooms-apartments-for-sale-in-amman-airport-road-manaseer-gs,"160,000 JOD"
94,245783631,https://opensooq.com/en/search/245783631/farm-land-for-sale-in-mafraq-dahl,"6,000 JOD"
